	transactions	input_value	output_value	fee	day	month	year
4185	999581	153197769247765.000000000	153197769247765.000000000	681896104483.000000000	6	3	2021
4186	959658	213025844444072.000000000	213025844444072.000000000	629868510646.000000000	7	3	2021
4187	1005858	195919594052541.000000000	195919594052541.000000000	761074188733.000000000	8	3	2021
4188	843000	194988474658231.000000000	194988474658231.000000000	765612697993.000000000	9	3	2021
4189	903199	170629219660619.000000000	170629219660619.000000000	622400763005.000000000	10	3	2021
4190	786171	168545952562090.000000000	168545952562090.000000000	979008057707.000000000	11	3	2021
4191	912561	140305673440792.000000000	140305673440792.000000000	971710508259.000000000	12	3	2021
4192	885267	119787487628429.000000000	119787487628429.000000000	1013249561564.000000000	13	3	2021
4193	1006401	130972375161225.000000000	130972375161225.000000000	687801602083.000000000	14	3	2021
4194	936555	130378796317163.000000000	130378796317163.000000000	1035217539677.000000000	15	3	2021
4195	900846	146138012118774.000000000	146138012118774.000000000	837900772166.000000000	16	3	2021
4196	811290	145909936491054.000000000	145909936491054.000000000	749728763439.000000000	17	3	2021
4197	887215	130470523732753.000000000	130470523732753.000000000	1234740974474.000000000	18	3	2021
4198	900225	122825336022502.000000000	122825336022502.000000000	1034648676259.000000000	19	3	2021
4199	967834	114014572154303.000000000	114014572154303.000000000	819403755819.000000000	20	3	2021
4200	1141670	111029424740972.000000000	111029424740972.000000000	685478855446.000000000	21	3	2021
4201	947373	130208464477676.000000000	130208464477676.000000000	767153543659.000000000	22	3	2021
4202	1025724	181903150268456.000000000	181903150268456.000000000	673019960350.000000000	23	3	2021
4203	974963	164131245958870.000000000	164131245958870.000000000	677365308165.000000000	24	3	2021
4204	939127	171373082053726.000000000	171373082053726.000000000	665465458640.000000000	25	3	2021
4205	811475	145509277046626.000000000	145509277046626.000000000	618290274506.000000000	26	3	2021
4206	1019147	123326252368626.000000000	123326252368626.000000000	651961916694.000000000	27	3	2021
4207	1053702	92087773062031.000000000	92087773062031.000000000	695009539183.000000000	28	3	2021
4208	918726	160744648598486.000000000	160744648598486.000000000	614074389182.000000000	29	3	2021
4209	883876	149748189505401.000000000	149748189505401.000000000	736457310827.000000000	30	3	2021
4210	945248	136285527389602.000000000	136285527389602.000000000	798952419791.000000000	31	3	2021
4211	881885	136624911314309.000000000	136624911314309.000000000	666330848821.000000000	1	4	2021
4212	845602	138430013916940.000000000	138430013916940.000000000	771229246184.000000000	2	4	2021
4213	807765	134228314920889.000000000	134228314920889.000000000	728750793976.000000000	3	4	2021
4214	950301	115751027215084.000000000	115751027215084.000000000	694496038962.000000000	4	4	2021
4215	1038974	175134198997147.000000000	175134198997147.000000000	846512407023.000000000	5	4	2021
4216	864030	211203620007935.000000000	211203620007935.000000000	759774326287.000000000	6	4	2021
4217	962113	170050565728593.000000000	170050565728593.000000000	827229967245.000000000	7	4	2021
4218	809637	150130125955337.000000000	150130125955337.000000000	657882724228.000000000	8	4	2021
4219	933534	159465427999448.000000000	159465427999448.000000000	932571580501.000000000	9	4	2021
4220	988543	153997459239081.000000000	153997459239081.000000000	726914171077.000000000	10	4	2021
4221	969026	136904158375634.000000000	136904158375634.000000000	507757194335.000000000	11	4	2021
4222	899766	167638499944061.000000000	167638499944061.000000000	589730564572.000000000	12	4	2021
